_time,_value
2023-12-17T03:13:54.393674131Z,42
2023-12-17T03:14:04.704682788Z,35
2023-12-17T03:14:15.032613106Z,29
2023-12-17T03:14:25.384646199Z,68
2023-12-17T03:14:35.715408725Z,94
2023-12-17T03:14:45.830997299Z,50
2023-12-17T03:14:56.159449998Z,39
2023-12-17T03:15:06.470874311Z,28
2023-12-17T03:15:16.814857831Z,43
2023-12-17T03:15:26.943722362Z,25
2023-12-17T03:15:37.054244575Z,37
2023-12-17T03:15:47.34699241Z,47
2023-12-17T03:15:57.450069302Z,36
2023-12-17T03:16:07.58614021Z,32
2023-12-17T03:16:17.773386996Z,21
2023-12-17T03:16:28.122255891Z,29
2023-12-17T03:16:38.434579188Z,23
2023-12-17T03:16:48.750857131Z,26
2023-12-17T03:16:59.088480026Z,32
2023-12-17T03:17:09.409462203Z,44
2023-12-17T03:17:19.532062699Z,65
